registros;natureza;municipio;cod_ibge;mes;ano_fato;risp;rmbh
0;Homicídio Consumado (Vitimas);ABADIA DOS DOURADOS;310010;1;2012;RISP 10 - PATOS DE MINAS;NÃO
0;Homicídio Consumado (Vitimas);ABAETE;310020;1;2012;RISP 7 - DIVINÓPOLIS;NÃO
0;Homicídio Consumado (Vitimas);ABRE-CAMPO;310030;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);ACAIACA;310040;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);ACUCENA;310050;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);AGUA BOA;310060;1;2012;RISP 14 - CURVELO;NÃO
0;Homicídio Consumado (Vitimas);AGUA COMPRIDA;310070;1;2012;RISP 5 - UBERABA;NÃO
0;Homicídio Consumado (Vitimas);AGUANIL;310080;1;2012;RISP 6 - LAVRAS;NÃO
0;Homicídio Consumado (Vitimas);AGUAS FORMOSAS;310090;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
0;Homicídio Consumado (Vitimas);AGUAS VERMELHAS;310100;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
2;Homicídio Consumado (Vitimas);AIMORES;310110;1;2012;RISP 8 - GOV. VALADARES;NÃO
0;Homicídio Consumado (Vitimas);AIURUOCA;310120;1;2012;RISP 17 - POUSO ALEGRE;NÃO
0;Homicídio Consumado (Vitimas);ALAGOA;310130;1;2012;RISP 17 - POUSO ALEGRE;NÃO
2;Homicídio Consumado (Vitimas);ALBERTINA;310140;1;2012;RISP 17 - POUSO ALEGRE;NÃO
0;Homicídio Consumado (Vitimas);ALEM PARAIBA;310150;1;2012;RISP 4 - JUIZ DE FORA;NÃO
0;Homicídio Consumado (Vitimas);ALFENAS;310160;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
0;Homicídio Consumado (Vitimas);ALFREDO VASCONCELOS;310163;1;2012;RISP 13 - BARBACENA;NÃO
1;Homicídio Consumado (Vitimas);ALMENARA;310170;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
1;Homicídio Consumado (Vitimas);ALPERCATA;310180;1;2012;RISP 8 - GOV. VALADARES;NÃO
0;Homicídio Consumado (Vitimas);ALPINOPOLIS;310190;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
0;Homicídio Consumado (Vitimas);ALTEROSA;310200;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
0;Homicídio Consumado (Vitimas);ALTO CAPARAO;310205;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);ALTO JEQUITIBA;315350;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);ALTO RIO DOCE;310210;1;2012;RISP 13 - BARBACENA;NÃO
0;Homicídio Consumado (Vitimas);ALVARENGA;310220;1;2012;RISP 8 - GOV. VALADARES;NÃO
0;Homicídio Consumado (Vitimas);ALVINOPOLIS;310230;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);ALVORADA DE MINAS;310240;1;2012;RISP 14 - CURVELO;NÃO
0;Homicídio Consumado (Vitimas);AMPARO DA SERRA;310250;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);ANDRADAS;310260;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
0;Homicídio Consumado (Vitimas);ANDRELANDIA;310280;1;2012;RISP 13 - BARBACENA;NÃO
0;Homicídio Consumado (Vitimas);ANGELANDIA;310285;1;2012;RISP 14 - CURVELO;NÃO
0;Homicídio Consumado (Vitimas);ANTONIO CARLOS;310290;1;2012;RISP 13 - BARBACENA;NÃO
0;Homicídio Consumado (Vitimas);ANTONIO DIAS;310300;1;2012;RISP 12 - IPATINGA;NÃO
0;Homicídio Consumado (Vitimas);ANTONIO PRADO DE MINAS;310310;1;2012;RISP 4 - JUIZ DE FORA;NÃO
0;Homicídio Consumado (Vitimas);ARACAI;310320;1;2012;RISP 19 - SETE LAGOAS;NÃO
0;Homicídio Consumado (Vitimas);ARACITABA;310330;1;2012;RISP 13 - BARBACENA;NÃO
0;Homicídio Consumado (Vitimas);ARACUAI;310340;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
2;Homicídio Consumado (Vitimas);ARAGUARI;310350;1;2012;RISP 9 - UBERLÂNDIA;NÃO
0;Homicídio Consumado (Vitimas);ARANTINA;310360;1;2012;RISP 13 - BARBACENA;NÃO
0;Homicídio Consumado (Vitimas);ARAPONGA;310370;1;2012;RISP 4 - JUIZ DE FORA;NÃO
1;Homicídio Consumado (Vitimas);ARAPORA;310375;1;2012;RISP 9 - UBERLÂNDIA;NÃO
0;Homicídio Consumado (Vitimas);ARAPUA;310380;1;2012;RISP 10 - PATOS DE MINAS;NÃO
0;Homicídio Consumado (Vitimas);ARAUJOS;310390;1;2012;RISP 7 - DIVINÓPOLIS;NÃO
3;Homicídio Consumado (Vitimas);ARAXA;310400;1;2012;RISP 5 - UBERABA;NÃO
0;Homicídio Consumado (Vitimas);ARCEBURGO;310410;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
0;Homicídio Consumado (Vitimas);ARCOS;310420;1;2012;RISP 7 - DIVINÓPOLIS;NÃO
0;Homicídio Consumado (Vitimas);AREADO;310430;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
0;Homicídio Consumado (Vitimas);ARGIRITA;310440;1;2012;RISP 4 - JUIZ DE FORA;NÃO
0;Homicídio Consumado (Vitimas);ARICANDUVA;310445;1;2012;RISP 14 - CURVELO;NÃO
0;Homicídio Consumado (Vitimas);ARINOS;310450;1;2012;RISP 16 - UNAÍ;NÃO
0;Homicídio Consumado (Vitimas);ASTOLFO DUTRA;310460;1;2012;RISP 4 - JUIZ DE FORA;NÃO
0;Homicídio Consumado (Vitimas);ATALEIA;310470;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
0;Homicídio Consumado (Vitimas);AUGUSTO DE LIMA;310480;1;2012;RISP 14 - CURVELO;NÃO
0;Homicídio Consumado (Vitimas);BAEPENDI;310490;1;2012;RISP 17 - POUSO ALEGRE;NÃO
0;Homicídio Consumado (Vitimas);BALDIM;310500;1;2012;RISP 19 - SETE LAGOAS;SIM
